obsnme,obsval,weight,obgnme
mixfrst_rz_a,4.0,0.0,parameter-processor-values
mixfrst_rz_b,5.0,0.0,parameter-processor-values
mixfrst_rz_c,4.0,0.0,parameter-processor-values
mixfrst_rz_d,2.664,0.0,parameter-processor-values
mixfrst_rz_ad,2.664,0.0,parameter-processor-values
mixfrst_rz_bd,2.664,0.0,parameter-processor-values
mixfrst_rz_cd,2.664,0.0,parameter-processor-values
mixfrst_max_net_infil_a,5.0,0.0,parameter-processor-values
mixfrst_max_net_infil_b,0.75,0.0,parameter-processor-values
mixfrst_max_net_infil_c,0.3,0.0,parameter-processor-values
mixfrst_max_net_infil_d,0.15,0.0,parameter-processor-values
mixfrst_max_net_infil_ad,0.15,0.0,parameter-processor-values
mixfrst_max_net_infil_bd,0.15,0.0,parameter-processor-values
mixfrst_max_net_infil_cd,0.15,0.0,parameter-processor-values
evfrst_cn_a,40.0,0.0,parameter-processor-values
evfrst_cn_b,62.68,0.0,parameter-processor-values
evfrst_cn_c,75.34,0.0,parameter-processor-values
evfrst_cn_d,80.32,0.0,parameter-processor-values
evfrst_cn_ad,80.32,0.0,parameter-processor-values
evfrst_cn_bd,80.32,0.0,parameter-processor-values
evfrst_cn_cd,80.32,0.0,parameter-processor-values
evfrst_rz_a,3.5,0.0,parameter-processor-values
evfrst_rz_b,4.375,0.0,parameter-processor-values
evfrst_rz_c,3.5,0.0,parameter-processor-values
evfrst_rz_d,2.331,0.0,parameter-processor-values
evfrst_rz_ad,2.331,0.0,parameter-processor-values
evfrst_rz_bd,2.331,0.0,parameter-processor-values
evfrst_rz_cd,2.331,0.0,parameter-processor-values
evfrst_max_net_infil_a,5.0,0.0,parameter-processor-values
evfrst_max_net_infil_b,0.75,0.0,parameter-processor-values
evfrst_max_net_infil_c,0.3,0.0,parameter-processor-values
evfrst_max_net_infil_d,0.15,0.0,parameter-processor-values
evfrst_max_net_infil_ad,0.15,0.0,parameter-processor-values
evfrst_max_net_infil_bd,0.15,0.0,parameter-processor-values
evfrst_max_net_infil_cd,0.15,0.0,parameter-processor-values
pasture_cn_a,30.0,0.0,parameter-processor-values
pasture_cn_b,56.46,0.0,parameter-processor-values
pasture_cn_c,71.23,0.0,parameter-processor-values
pasture_cn_d,77.04,0.0,parameter-processor-values
